*** Booting nRF Connect SDK v3.0.2-89ba1294ac9b ***
*** Using Zephyr OS v4.0.99-f791c49f492c ***
Enhanced ShockBurst prx sample
TX Performance test and RSSI value
[PRX] Version: 3 | Build: Jul  2 2025 19:05:39
Board: nrf54l15dk
Device ID: 416016678
Check FEM TX support
FEM TX support: disabled
Using 1 Mbps bitrate
HF clock started
Initialization complete
Setting up for packet receiption
----------------------
ID:3170380583 | Board:nRF54L15DK            | Counter: 34 | TX:  8 dBm | RSSI:-51 dBm (Fair)
ID:3170380583 | Board:nRF54L15DK            | Counter: 35 | TX:  8 dBm | RSSI:-53 dBm (Fair)
ID:3170380583 | Board:nRF54L15DK            | Counter: 36 | TX:  8 dBm | RSSI:-50 dBm (Good)
ID:3170380583 | Board:nRF54L15DK            | Counter: 37 | TX:  8 dBm | RSSI:-50 dBm (Good)
ID:3170380583 | Board:nRF54L15DK            | Counter: 38 | TX:  8 dBm | RSSI:-49 dBm (Good)
ID:3170380583 | Board:nRF54L15DK            | Counter: 39 | TX:  8 dBm | RSSI:-41 dBm (Good)
ID:3170380583 | Board:nRF54L15DK            | Counter: 40 | TX:  8 dBm | RSSI:-55 dBm (Fair)
ID:3170380583 | Board:nRF54L15DK            | Counter: 41 | TX:  8 dBm | RSSI:-50 dBm (Good)
ID:3170380583 | Board:nRF54L15DK            | Counter: 42 | TX:  8 dBm | RSSI:-40 dBm (Very Good)
ID:3170380583 | Board:nRF54L15DK            | Counter: 43 | TX:  8 dBm | RSSI:-44 dBm (Good)
ID:3170380583 | Board:nRF54L15DK            | Counter: 44 | TX:  8 dBm | RSSI:-50 dBm (Good)
ID:3170380583 | Board:nRF54L15DK            | Counter: 45 | TX:  8 dBm | RSSI:-36 dBm (Very Good)
ID:3170380583 | Board:nRF54L15DK            | Counter: 46 | TX:  8 dBm | RSSI:-40 dBm (Very Good)
ID:3170380583 | Board:nRF54L15DK            | Counter: 47 | TX:  8 dBm | RSSI:-41 dBm (Good)
ID:3170380583 | Board:nRF54L15DK            | Counter: 48 | TX:  8 dBm | RSSI:-42 dBm (Good)
ID:3170380583 | Board:nRF54L15DK            | Counter: 49 | TX:  8 dBm | RSSI:-51 dBm (Fair)
ID:3170380583 | Board:nRF54L15DK            | Counter: 50 | TX:  8 dBm | RSSI:-64 dBm (Average)
ID:3170380583 | Board:nRF54L15DK            | Counter: 51 | TX:  8 dBm | RSSI:-64 dBm (Average)
ID:3170380583 | Board:nRF54L15DK            | Counter: 52 | TX:  8 dBm | RSSI:-58 dBm (Fair)
ID:3170380583 | Board:nRF54L15DK            | Counter: 53 | TX:  8 dBm | RSSI:-66 dBm (Weak)
ID:3170380583 | Board:nRF54L15DK            | Counter: 54 | TX:  8 dBm | RSSI:-69 dBm (Weak)
ID:3170380583 | Board:nRF54L15DK            | Counter: 55 | TX:  8 dBm | RSSI:-66 dBm (Weak)
ID:3170380583 | Board:nRF54L15DK            | Counter: 56 | TX:  8 dBm | RSSI:-82 dBm (Critical)
ID:3170380583 | Board:nRF54L15DK            | Counter: 57 | TX:  8 dBm | RSSI:-69 dBm (Weak)
ID:3170380583 | Board:nRF54L15DK            | Counter: 58 | TX:  8 dBm | RSSI:-69 dBm (Weak)
ID:3170380583 | Board:nRF54L15DK            | Counter: 59 | TX:  8 dBm | RSSI:-70 dBm (Weak)
ID:3170380583 | Board:nRF54L15DK            | Counter: 60 | TX:  8 dBm | RSSI:-70 dBm (Weak)
ID:3170380583 | Board:nRF54L15DK            | Counter: 61 | TX:  8 dBm | RSSI:-81 dBm (Critical)
ID:3170380583 | Board:nRF54L15DK            | Counter: 62 | TX:  8 dBm | RSSI:-75 dBm (Poor)
ID:3170380583 | Board:nRF54L15DK            | Counter: 63 | TX:  8 dBm | RSSI:-69 dBm (Weak)
ID:3170380583 | Board:nRF54L15DK            | Counter: 64 | TX:  8 dBm | RSSI:-56 dBm (Fair)
